invoice_id,vendor_id,vendor_name,invoice_date,due_date,amount,paid_amount,payment_date,agreed_payment_days,is_msme_vendor,msme_category,status,description
INV-0001,V001,Sharma Precision Tools Pvt Ltd,2025-10-15,2025-11-14,125000.00,125000.00,2025-11-10,30,true,micro,paid,CNC machined components - Batch 42
INV-0002,V001,Sharma Precision Tools Pvt Ltd,2025-11-20,2025-12-20,87500.00,0.00,,30,true,micro,overdue,Precision shafts for assembly line
INV-0003,V001,Sharma Precision Tools Pvt Ltd,2025-12-01,2025-12-31,210000.00,50000.00,2026-01-15,30,true,micro,partially_paid,Custom tooling dies - Phase 2
INV-0004,V002,Gupta Electronics Components,2025-09-10,2025-10-25,340000.00,340000.00,2025-11-20,45,true,small,paid,PCB assemblies Q3 order
INV-0005,V002,Gupta Electronics Components,2025-10-20,2025-12-04,175000.00,0.00,,45,true,small,overdue,Sensor modules - 500 units
INV-0006,V002,Gupta Electronics Components,2025-11-15,2025-12-30,420000.00,0.00,,45,true,small,overdue,Control panel wiring harnesses
INV-0007,V002,Gupta Electronics Components,2025-12-10,2026-01-24,95000.00,95000.00,2026-01-20,45,true,small,paid,Replacement capacitors bulk order
INV-0008,V003,Patel Fabrication Works,2025-10-01,2025-10-16,68000.00,0.00,,,true,micro,overdue,Steel frame fabrication - Unit A
INV-0009,V003,Patel Fabrication Works,2025-11-05,2025-11-20,145000.00,0.00,,,true,micro,overdue,Welded chassis assemblies
INV-0010,V003,Patel Fabrication Works,2025-12-15,2025-12-30,92000.00,30000.00,2026-01-10,,true,micro,partially_paid,Sheet metal enclosures
INV-0011,V004,Reddy Industrial Supplies,2025-08-20,2025-10-19,250000.00,0.00,,60,true,small,overdue,Industrial lubricants annual contract
INV-0012,V004,Reddy Industrial Supplies,2025-09-15,2025-11-14,180000.00,180000.00,2025-12-20,60,true,small,paid,Safety equipment - PPE kits
INV-0013,V004,Reddy Industrial Supplies,2025-11-01,2025-12-31,310000.00,0.00,,60,true,small,overdue,Hydraulic fluid and consumables
INV-0014,V005,Mehta Polymers & Plastics,2025-10-10,2025-11-09,195000.00,195000.00,2025-11-05,30,true,medium,paid,Injection molded casings
INV-0015,V005,Mehta Polymers & Plastics,2025-11-25,2025-12-25,280000.00,0.00,,30,true,medium,overdue,Custom polymer gaskets
INV-0016,V005,Mehta Polymers & Plastics,2025-12-20,2026-01-19,150000.00,75000.00,2026-02-01,30,true,medium,partially_paid,Rubber seals and O-rings
INV-0017,V006,Singh Auto Parts,2025-09-25,2025-10-10,45000.00,0.00,,,true,micro,overdue,Brake pads and rotors
INV-0018,V006,Singh Auto Parts,2025-10-30,2025-11-14,78000.00,0.00,,,true,micro,overdue,Suspension components
INV-0019,V006,Singh Auto Parts,2025-11-18,2025-12-03,112000.00,0.00,,,true,micro,overdue,Engine mounting brackets
INV-0020,V006,Singh Auto Parts,2025-12-05,2025-12-20,55000.00,55000.00,2025-12-18,,true,micro,paid,Windshield wiper assemblies
INV-0021,V007,Joshi Engineering Solutions,2025-10-05,2025-11-19,430000.00,430000.00,2025-11-15,45,true,small,paid,CAD design services Q3
INV-0022,V007,Joshi Engineering Solutions,2025-11-10,2025-12-25,260000.00,0.00,,45,true,small,overdue,Prototype development - Project X
INV-0023,V007,Joshi Engineering Solutions,2025-12-18,2026-02-01,185000.00,0.00,,45,true,small,pending,Structural analysis report
INV-0024,V008,Agarwal Electrical Systems,2025-09-05,2025-10-05,72000.00,0.00,,30,true,micro,overdue,Panel boards - 10 units
