invoice_id,vendor_id,vendor_name,invoice_date,due_date,amount,paid_amount,payment_date,agreed_payment_days,is_msme_vendor,msme_category,status,description
INV-0297,V015,Verma Welding Electrodes,2026-03-06,2026-04-05,67745.48,67745.48,2026-04-13,30,true,micro,paid,Invoice from Verma Welding Electrodes
INV-0362,V018,Thakur Industrial Fasteners,2025-10-22,2026-01-20,279386.60,0.00,,90,true,small,overdue,Invoice from Thakur Industrial Fasteners
INV-0120,V007,Joshi Engineering Solutions,2026-02-10,2026-03-27,329748.72,329748.72,2026-03-27,45,true,small,paid,Invoice from Joshi Engineering Solutions
INV-0511,V028,Bharat Heavy Electricals,2026-01-15,2026-03-01,143108.17,143108.17,2026-02-27,45,false,,paid,Invoice from Bharat Heavy Electricals
INV-0594,V034,Siemens India Ltd,2025-10-27,2025-12-26,112423.18,112423.18,2025-12-24,60,false,,paid,Invoice from Siemens India Ltd
INV-0007,V001,Sharma Precision Tools Pvt Ltd,2026-02-07,2026-03-09,350579.00,350579.00,2026-03-08,30,true,micro,paid,Invoice from Sharma Precision Tools Pvt Ltd
INV-0304,V016,Mishra Casting Works,2026-03-01,2026-04-15,450137.05,450137.05,2026-04-14,45,true,small,paid,Invoice from Mishra Casting Works
INV-0476,V026,Mahindra & Mahindra Ltd,2026-02-07,2026-03-24,407671.53,0.00,,45,false,,overdue,Invoice from Mahindra & Mahindra Ltd
INV-0564,V032,Adani Enterprises Ltd,2025-10-05,2026-01-03,482072.37,482072.37,2026-03-02,90,false,,paid,Invoice from Adani Enterprises Ltd
INV-0224,V012,Banerjee Textiles,2025-11-12,2025-12-12,466663.26,466663.26,2025-12-07,30,true,medium,paid,Invoice from Banerjee Textiles
INV-0399,V020,Bhatt CNC Components,2026-01-13,2026-02-27,111749.10,111749.10,2026-02-22,45,true,small,paid,Invoice from Bhatt CNC Components
INV-0579,V033,Wipro Technologies Ltd,2025-12-28,2026-01-27,290850.03,0.00,,30,false,,overdue,Invoice from Wipro Technologies Ltd
INV-0348,V017,Pillai Electronics Assembly,2025-10-08,2025-11-07,61443.19,61443.19,2026-01-04,30,true,micro,paid,Invoice from Pillai Electronics Assembly
INV-0361,V018,Thakur Industrial Fasteners,2026-02-24,2026-05-25,309429.15,309429.15,2026-06-24,90,true,small,paid,Invoice from Thakur Industrial Fasteners
INV-0525,V029,Hindustan Unilever Ltd,2025-11-18,2025-12-18,241337.02,241337.02,2025-12-16,30,false,,paid,Invoice from Hindustan Unilever Ltd
INV-0389,V019,Saxena Tooling Solutions,2025-10-16,2025-11-15,73507.27,73507.27,2025-11-12,,true,micro,paid,Invoice from Saxena Tooling Solutions
INV-0095,V006,Singh Auto Parts,2026-03-13,2026-04-12,93783.53,0.00,,,true,micro,pending,Invoice from Singh Auto Parts
INV-0731,V044,Ashok Leyland Ltd,2026-02-24,2026-03-26,204411.13,0.00,,30,false,,overdue,Invoice from Ashok Leyland Ltd
INV-0402,V020,Bhatt CNC Components,2025-10-07,2025-11-21,397980.06,397980.06,2025-11-29,45,true,small,paid,Invoice from Bhatt CNC Components
INV-0213,V011,Deshmukh Rubber Products,2025-11-13,2025-12-28,147667.81,0.00,,45,true,small,overdue,Invoice from Deshmukh Rubber Products
INV-0749,V045,Cummins India Ltd,2026-01-21,2026-03-07,262124.91,262124.91,2026-03-08,45,false,,paid,Invoice from Cummins India Ltd
INV-0038,V002,Gupta Electronics Components,2026-03-19,2026-05-03,301477.57,301477.57,2026-05-11,45,true,small,paid,Invoice from Gupta Electronics Components
INV-0166,V009,Iyer Packaging Industries,2025-11-16,2025-12-16,235112.52,0.00,,30,true,small,overdue,Invoice from Iyer Packaging Industries
INV-0185,V010,Kumar Metal Works,2026-03-16,2026-04-15,289161.79,289161.79,2026-05-07,,true,micro,paid,Invoice from Kumar Metal Works
INV-0661,V039,Voltas Limited,2025-10-16,2025-12-15,473903.07,473903.07,2025-12-13,60,false,,paid,Invoice from Voltas Limited
INV-0132,V007,Joshi Engineering Solutions,2026-02-27,2026-04-13,73495.16,73495.16,2026-04-08,45,true,small,paid,Invoice from Joshi Engineering Solutions
INV-0135,V008,Agarwal Electrical Systems,2025-12-10,2026-01-09,452895.05,293367.97,2026-02-05,30,true,micro,partially_paid,Invoice from Agarwal Electrical Systems
